,result,fb,fbassist,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,herald,heraldtime,ft,fttime,dmgtochampsperminute,wpm,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,earnedgpm,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15,csdat15,side_Blue,side_Red
130,1.0,0.0,0.0,1.0,3.472633333,0.747330961,0.071174377,0.8185053379999999,1.0,14.97093333,1.0,14.67296667,1.0,14.04743333,2169.964413,4.804270463,1.886120996,1.1743772241992882,1.3523131672597863,0.75,0.2,1549.3879,7.366548042704626,3.807829181494662,1.5302491103202847,39.3594306,15372.0,15645.0,-273.0,25724.0,23370.0,2354.0,18357.0,17952.0,405.0,319.0,337.0,-18.0,550.0,538.0,12.0,1,0
131,0.0,1.0,1.0,0.0,3.472633333,0.071174377,0.747330961,0.8185053379999999,0.0,14.97093333,0.0,14.67296667,0.0,14.04743333,1917.295374,5.12455516,1.53024911,0.8185053380782917,1.0676156583629892,0.473684211,0.194805195,891.7366548,4.590747330960854,3.3096085409252667,0.39145907473309605,34.98220641,15645.0,15372.0,273.0,23370.0,25724.0,-2354.0,17952.0,18357.0,-405.0,337.0,319.0,18.0,538.0,550.0,-12.0,0,1
142,1.0,1.0,1.0,0.0,3.3234,0.14910536800000002,0.059642147,0.208747515,1.0,13.56005,-9999.0,-9999.0,1.0,10.70851667,898.5387674000001,5.606361829,2.027833002,1.4910536780806218,1.6699801194502963,0.588235294,0.235294118,1388.755467,6.172962227253774,3.6679920480783297,0.6560636183554736,37.15705765,16145.0,16059.0,86.0,25705.0,24028.0,1677.0,18898.0,20044.0,-1146.0,339.0,380.0,-41.0,557.0,592.0,-35.0,1,0
143,0.0,0.0,0.0,1.0,3.3234,0.059642147,0.14910536800000002,0.208747515,0.0,13.56005,-9999.0,-9999.0,0.0,10.70851667,752.7733598,5.397614314,1.819085487,1.163021868902885,1.2823061631493347,0.438596491,0.194174757,1078.944334,5.457256461775075,4.234592445748966,0.14910536780806216,40.91451292,16059.0,16145.0,-86.0,24028.0,25705.0,-1677.0,20044.0,18898.0,1146.0,380.0,339.0,41.0,592.0,557.0,35.0,0,1
154,1.0,1.0,1.0,0.0,0.6598,0.221565731,0.044313146,0.265878877,1.0,14.71356667,-9999.0,-9999.0,-9999.0,-9999.0,1639.874446,3.434268833,2.592319055,1.0413589365614002,1.129985229034711,0.635135135,0.318518519,1343.140325,5.251107829043656,3.766617430115703,0.44313146236655326,39.90398818,16217.0,14934.0,1283.0,24499.0,23410.0,1089.0,19423.0,18419.0,1004.0,347.0,337.0,10.0,571.0,543.0,28.0,1,0
155,0.0,0.0,0.0,1.0,0.6598,0.044313146,0.221565731,0.265878877,0.0,14.71356667,-9999.0,-9999.0,-9999.0,-9999.0,1288.870015,5.450516987,1.484490399,1.4844903989279534,1.5509601182829365,0.62745098,0.33653846200000004,965.7474151,5.162481536570346,4.209748892482256,0.11078286559163832,36.27031019,14934.0,16217.0,-1283.0,23410.0,24499.0,-1089.0,18419.0,19423.0,-1004.0,337.0,347.0,-10.0,543.0,571.0,-28.0,0,1
166,0.0,0.0,0.0,1.0,8.565483333,0.150816925,0.452450775,0.6032677,0.0,11.26183333,-9999.0,-9999.0,1.0,14.981,1231.168831,5.178047759,2.136573104,1.1562630918438428,1.1562630918438428,0.571428571,0.24137931,1021.045664,4.876413909080554,3.971512358941895,0.07540846251155496,34.61248429,15611.0,16758.0,-1147.0,24945.0,24862.0,83.0,18841.0,19692.0,-851.0,370.0,347.0,23.0,572.0,557.0,15.0,1,0
167,1.0,1.0,1.0,0.0,8.565483333,0.452450775,0.150816925,0.6032677,1.0,11.26183333,-9999.0,-9999.0,0.0,14.981,2125.462924,5.4294093,2.11143695,1.3070800168669527,1.5333054044016177,0.461538462,0.316666667,1417.266862,6.635944701016837,4.122329283965005,0.6535400084334764,36.69878509,16758.0,15611.0,1147.0,24862.0,24945.0,-83.0,19692.0,18841.0,851.0,347.0,370.0,-23.0,557.0,572.0,-15.0,0,1
178,0.0,0.0,0.0,1.0,6.2912,0.098280098,0.393120393,0.491400491,0.0,9.419783333,0.0,14.41463333,0.0,9.18085,1280.786241,5.356265356000001,1.941031941,1.2776412776412776,1.4250614250614249,0.446153846,0.40776699,883.1105651,5.773955773955773,4.447174447174447,0.41769041769041765,32.38329238,14619.0,17509.0,-2890.0,22634.0,26370.0,-3736.0,18000.0,18309.0,-309.0,331.0,297.0,34.0,534.0,525.0,9.0,1,0
179,1.0,1.0,1.0,0.0,6.2912,0.393120393,0.098280098,0.491400491,1.0,9.419783333,1.0,14.41463333,1.0,9.18085,2013.341523,4.668304668,2.506142506,1.3513513513513513,1.3759213759213758,0.6,0.33962264200000003,1230.850123,5.700245700245699,3.538083538083538,0.34398034398034394,35.6019656,17509.0,14619.0,2890.0,26370.0,22634.0,3736.0,18309.0,18000.0,309.0,297.0,331.0,-34.0,525.0,534.0,-9.0,0,1
190,0.0,1.0,1.0,0.0,3.067533333,0.239282154,0.279162512,0.518444666,1.0,7.861983332999999,-9999.0,-9999.0,0.0,14.1802,2172.123629,5.443668992999999,1.674975075,1.0568295114656032,1.156530408773679,0.521126761,0.345588235,1231.409771,5.543369890329013,4.087736789631107,0.15952143569292124,36.33100698,15779.0,15891.0,-112.0,23858.0,25865.0,-2007.0,18220.0,19946.0,-1726.0,347.0,357.0,-10.0,562.0,592.0,-30.0,1,0
191,1.0,0.0,0.0,1.0,3.067533333,0.279162512,0.239282154,0.518444666,0.0,7.861983332999999,-9999.0,-9999.0,1.0,14.1802,1853.5194420000007,4.127617149,2.7318045860000004,1.1764705882352942,1.2562313060817547,0.720588235,0.368794326,1347.581256,7.437686939182453,4.406779661016949,0.9371884346959123,40.0997009,15891.0,15779.0,112.0,25865.0,23858.0,2007.0,19946.0,18220.0,1726.0,357.0,347.0,10.0,592.0,562.0,30.0,0,1
202,1.0,1.0,1.0,0.0,8.4176,0.328068044,0.0,0.328068044,1.0,10.86646667,-9999.0,-9999.0,-9999.0,-9999.0,1726.8772780000004,4.483596598,2.077764277,1.0206561362115014,1.2758201702643768,0.7777777779999999,0.25,1522.7387609999996,7.65492102158626,4.520048603222363,0.9477521264821084,39.84204131,16747.0,15578.0,1169.0,25292.0,23376.0,1916.0,19888.0,19565.0,323.0,366.0,360.0,6.0,575.0,559.0,16.0,1,0
203,0.0,0.0,0.0,1.0,8.4176,0.0,0.328068044,0.328068044,0.0,10.86646667,-9999.0,-9999.0,-9999.0,-9999.0,1140.692588,4.629404617,1.567436209,0.838396111888019,0.9113001216174119,0.483870968,0.225352113,895.8371810000001,4.665856622681149,3.973268530251916,0.1458080194587859,35.97812879999999,15578.0,16747.0,-1169.0,23376.0,25292.0,-1916.0,19565.0,19888.0,-323.0,360.0,366.0,-6.0,559.0,575.0,-16.0,0,1
214,0.0,0.0,0.0,1.0,3.2911333330000003,0.242074928,0.484149856,0.726224784,-9999.0,-9999.0,1.0,13.87776667,1.0,8.5677,1659.769452,4.979827089,1.625360231,1.1412103745082178,1.175792507069073,0.625,0.246753247,1029.095101,5.429394812054248,3.4927953886463636,0.7262247837779567,34.20172911,16955.0,15895.0,1060.0,25967.0,24436.0,1531.0,18159.0,16913.0,1246.0,303.0,289.0,14.0,505.0,492.0,13.0,1,0
