,result,fb,fbassist,fbvictim,fbtime,fd,fdtime,herald,heraldtime,ft,fttime,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15,csdat15,side_Blue,side_Red
214,0.0,0.0,0.0,1.0,3.2911333330000003,-9999.0,-9999.0,1.0,13.87776667,1.0,8.5677,16955.0,15895.0,1060.0,25967.0,24436.0,1531.0,18159.0,16913.0,1246.0,303.0,289.0,14.0,505.0,492.0,13.0,1,0
215,1.0,1.0,0.0,0.0,3.2911333330000003,-9999.0,-9999.0,0.0,13.87776667,0.0,8.5677,15895.0,16955.0,-1060.0,24436.0,25967.0,-1531.0,16913.0,18159.0,-1246.0,289.0,303.0,-14.0,492.0,505.0,-13.0,0,1
226,1.0,1.0,1.0,0.0,6.17055,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,16617.0,15780.0,837.0,24460.0,24632.0,-172.0,19774.0,18599.0,1175.0,363.0,360.0,3.0,567.0,557.0,10.0,1,0
227,0.0,0.0,0.0,1.0,6.17055,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,15780.0,16617.0,-837.0,24632.0,24460.0,172.0,18599.0,19774.0,-1175.0,360.0,363.0,-3.0,557.0,567.0,-10.0,0,1
238,0.0,0.0,0.0,1.0,6.62045,0.0,12.66761667,-9999.0,-9999.0,-9999.0,-9999.0,15729.0,15505.0,224.0,23897.0,23498.0,399.0,19259.0,18826.0,433.0,343.0,334.0,9.0,556.0,545.0,11.0,1,0
239,1.0,1.0,0.0,0.0,6.62045,1.0,12.66761667,-9999.0,-9999.0,-9999.0,-9999.0,15505.0,15729.0,-224.0,23498.0,23897.0,-399.0,18826.0,19259.0,-433.0,334.0,343.0,-9.0,545.0,556.0,-11.0,0,1
250,0.0,1.0,1.0,0.0,6.291283332999999,1.0,10.1965,-9999.0,-9999.0,1.0,13.76206667,15662.0,14589.0,1073.0,26212.0,21993.0,4219.0,18359.0,17851.0,508.0,314.0,322.0,-8.0,514.0,508.0,6.0,1,0
251,1.0,0.0,0.0,1.0,6.291283332999999,0.0,10.1965,-9999.0,-9999.0,0.0,13.76206667,14589.0,15662.0,-1073.0,21993.0,26212.0,-4219.0,17851.0,18359.0,-508.0,322.0,314.0,8.0,508.0,514.0,-6.0,0,1
262,1.0,1.0,1.0,0.0,8.194266667,1.0,9.68245,-9999.0,-9999.0,1.0,13.86976667,15692.0,15296.0,396.0,25453.0,23279.0,2174.0,19139.0,18014.0,1125.0,337.0,316.0,21.0,501.0,493.0,8.0,1,0
263,0.0,0.0,0.0,1.0,8.194266667,0.0,9.68245,-9999.0,-9999.0,0.0,13.86976667,15296.0,15692.0,-396.0,23279.0,25453.0,-2174.0,18014.0,19139.0,-1125.0,316.0,337.0,-21.0,493.0,501.0,-8.0,0,1
274,1.0,0.0,0.0,1.0,6.439716667000001,0.0,9.675133333,-9999.0,-9999.0,-9999.0,-9999.0,15861.0,15455.0,406.0,24799.0,23493.0,1306.0,19178.0,18940.0,238.0,354.0,321.0,33.0,586.0,505.0,81.0,1,0
275,0.0,1.0,1.0,0.0,6.439716667000001,1.0,9.675133333,-9999.0,-9999.0,-9999.0,-9999.0,15455.0,15861.0,-406.0,23493.0,24799.0,-1306.0,18940.0,19178.0,-238.0,321.0,354.0,-33.0,505.0,586.0,-81.0,0,1
286,0.0,0.0,0.0,1.0,4.07375,0.0,11.8961,1.0,11.82861667,0.0,11.45226667,14983.0,17191.0,-2208.0,23652.0,26218.0,-2566.0,17900.0,19009.0,-1109.0,321.0,352.0,-31.0,500.0,568.0,-68.0,1,0
287,1.0,1.0,1.0,0.0,4.07375,1.0,11.8961,0.0,11.82861667,1.0,11.45226667,17191.0,14983.0,2208.0,26218.0,23652.0,2566.0,19009.0,17900.0,1109.0,352.0,321.0,31.0,568.0,500.0,68.0,0,1
298,0.0,0.0,0.0,1.0,6.117733332999999,-9999.0,-9999.0,0.0,13.11641667,0.0,11.0521,14767.0,15171.0,-404.0,22412.0,26084.0,-3672.0,18837.0,18794.0,43.0,310.0,336.0,-26.0,461.0,546.0,-85.0,1,0
299,1.0,1.0,0.0,0.0,6.117733332999999,-9999.0,-9999.0,1.0,13.11641667,1.0,11.0521,15171.0,14767.0,404.0,26084.0,22412.0,3672.0,18794.0,18837.0,-43.0,336.0,310.0,26.0,546.0,461.0,85.0,0,1
310,0.0,0.0,0.0,1.0,6.977883332999999,-9999.0,-9999.0,-9999.0,-9999.0,0.0,12.41856667,15301.0,16054.0,-753.0,23050.0,26903.0,-3853.0,18457.0,18439.0,18.0,330.0,342.0,-12.0,507.0,520.0,-13.0,1,0
311,1.0,1.0,1.0,0.0,6.977883332999999,-9999.0,-9999.0,-9999.0,-9999.0,1.0,12.41856667,16054.0,15301.0,753.0,26903.0,23050.0,3853.0,18439.0,18457.0,-18.0,342.0,330.0,12.0,520.0,507.0,13.0,0,1
322,1.0,1.0,1.0,0.0,5.271033333,1.0,9.95405,-9999.0,-9999.0,1.0,13.38071667,15899.0,14872.0,1027.0,25918.0,22490.0,3428.0,19156.0,17933.0,1223.0,350.0,332.0,18.0,556.0,534.0,22.0,1,0
323,0.0,0.0,0.0,1.0,5.271033333,0.0,9.95405,-9999.0,-9999.0,0.0,13.38071667,14872.0,15899.0,-1027.0,22490.0,25918.0,-3428.0,17933.0,19156.0,-1223.0,332.0,350.0,-18.0,534.0,556.0,-22.0,0,1
334,1.0,1.0,0.0,0.0,8.797616667,0.0,11.4353,-9999.0,-9999.0,-9999.0,-9999.0,15823.0,16540.0,-717.0,23902.0,26357.0,-2455.0,19534.0,19532.0,2.0,357.0,339.0,18.0,547.0,573.0,-26.0,1,0
335,0.0,0.0,0.0,1.0,8.797616667,1.0,11.4353,-9999.0,-9999.0,-9999.0,-9999.0,16540.0,15823.0,717.0,26357.0,23902.0,2455.0,19532.0,19534.0,-2.0,339.0,357.0,-18.0,573.0,547.0,26.0,0,1
346,0.0,0.0,0.0,1.0,7.781133333,0.0,9.23915,-9999.0,-9999.0,0.0,11.59776667,15107.0,16889.0,-1782.0,21949.0,28160.0,-6211.0,18055.0,20182.0,-2127.0,340.0,346.0,-6.0,500.0,514.0,-14.0,1,0
347,1.0,1.0,1.0,0.0,7.781133333,1.0,9.23915,-9999.0,-9999.0,1.0,11.59776667,16889.0,15107.0,1782.0,28160.0,21949.0,6211.0,20182.0,18055.0,2127.0,346.0,340.0,6.0,514.0,500.0,14.0,0,1
358,1.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,11.36121667,-9999.0,-9999.0,-9999.0,-9999.0,14938.0,15345.0,-407.0,23252.0,23585.0,-333.0,18523.0,18854.0,-331.0,311.0,343.0,-32.0,518.0,565.0,-47.0,1,0
359,0.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,11.36121667,-9999.0,-9999.0,-9999.0,-9999.0,15345.0,14938.0,407.0,23585.0,23252.0,333.0,18854.0,18523.0,331.0,343.0,311.0,32.0,565.0,518.0,47.0,0,1
370,1.0,1.0,1.0,0.0,4.0048333330000006,1.0,7.109016667000001,-9999.0,-9999.0,1.0,11.4549,16455.0,15406.0,1049.0,27366.0,23472.0,3894.0,19487.0,19253.0,234.0,371.0,343.0,28.0,596.0,526.0,70.0,1,0
371,0.0,0.0,0.0,1.0,4.0048333330000006,0.0,7.109016667000001,-9999.0,-9999.0,0.0,11.4549,15406.0,16455.0,-1049.0,23472.0,27366.0,-3894.0,19253.0,19487.0,-234.0,343.0,371.0,-28.0,526.0,596.0,-70.0,0,1
382,0.0,0.0,0.0,1.0,7.006733333,1.0,14.97681667,-9999.0,-9999.0,-9999.0,-9999.0,15352.0,16154.0,-802.0,24152.0,24532.0,-380.0,18383.0,18205.0,178.0,331.0,339.0,-8.0,545.0,533.0,12.0,1,0
383,1.0,1.0,1.0,0.0,7.006733333,0.0,14.97681667,-9999.0,-9999.0,-9999.0,-9999.0,16154.0,15352.0,802.0,24532.0,24152.0,380.0,18205.0,18383.0,-178.0,339.0,331.0,8.0,533.0,545.0,-12.0,0,1
394,0.0,1.0,1.0,0.0,8.782816667,0.0,13.6248,1.0,11.11243333,1.0,12.68498333,16303.0,15332.0,971.0,25479.0,23682.0,1797.0,19526.0,17224.0,2302.0,345.0,320.0,25.0,534.0,539.0,-5.0,1,0
395,1.0,0.0,0.0,1.0,8.782816667,1.0,13.6248,0.0,11.11243333,0.0,12.68498333,15332.0,16303.0,-971.0,23682.0,25479.0,-1797.0,17224.0,19526.0,-2302.0,320.0,345.0,-25.0,539.0,534.0,5.0,0,1
406,0.0,1.0,1.0,0.0,10.36601667,-9999.0,-9999.0,1.0,12.03578333,1.0,12.87861667,15444.0,14742.0,702.0,25640.0,22265.0,3375.0,18642.0,18217.0,425.0,351.0,331.0,20.0,536.0,517.0,19.0,1,0
407,1.0,0.0,0.0,1.0,10.36601667,-9999.0,-9999.0,0.0,12.03578333,0.0,12.87861667,14742.0,15444.0,-702.0,22265.0,25640.0,-3375.0,18217.0,18642.0,-425.0,331.0,351.0,-20.0,517.0,536.0,-19.0,0,1
418,0.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,14.21675,1.0,13.00973333,1.0,7.12205,17059.0,14773.0,2286.0,25214.0,22351.0,2863.0,17928.0,17447.0,481.0,353.0,308.0,45.0,543.0,495.0,48.0,1,0
419,1.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,14.21675,0.0,13.00973333,0.0,7.12205,14773.0,17059.0,-2286.0,22351.0,25214.0,-2863.0,17447.0,17928.0,-481.0,308.0,353.0,-45.0,495.0,543.0,-48.0,0,1
430,0.0,0.0,0.0,1.0,7.65375,-9999.0,-9999.0,-9999.0,-9999.0,0.0,13.22151667,15427.0,15524.0,-97.0,23195.0,25111.0,-1916.0,18895.0,18620.0,275.0,357.0,333.0,24.0,563.0,559.0,4.0,1,0
431,1.0,1.0,1.0,0.0,7.65375,-9999.0,-9999.0,-9999.0,-9999.0,1.0,13.22151667,15524.0,15427.0,97.0,25111.0,23195.0,1916.0,18620.0,18895.0,-275.0,333.0,357.0,-24.0,559.0,563.0,-4.0,0,1
442,1.0,1.0,1.0,0.0,8.4764,0.0,10.73103333,-9999.0,-9999.0,1.0,14.63741667,15918.0,15584.0,334.0,26634.0,23976.0,2658.0,18613.0,18312.0,301.0,341.0,339.0,2.0,532.0,555.0,-23.0,1,0
443,0.0,0.0,0.0,1.0,8.4764,1.0,10.73103333,-9999.0,-9999.0,0.0,14.63741667,15584.0,15918.0,-334.0,23976.0,26634.0,-2658.0,18312.0,18613.0,-301.0,339.0,341.0,-2.0,555.0,532.0,23.0,0,1
454,1.0,1.0,1.0,0.0,6.1205,0.0,7.53165,0.0,11.62123333,1.0,11.38156667,16079.0,15626.0,453.0,26606.0,23126.0,3480.0,18842.0,19032.0,-190.0,354.0,344.0,10.0,531.0,530.0,1.0,1,0
455,0.0,0.0,0.0,1.0,6.1205,1.0,7.53165,1.0,11.62123333,0.0,11.38156667,15626.0,16079.0,-453.0,23126.0,26606.0,-3480.0,19032.0,18842.0,190.0,344.0,354.0,-10.0,530.0,531.0,-1.0,0,1
466,0.0,1.0,1.0,0.0,8.570716667000001,-9999.0,-9999.0,1.0,14.81853333,0.0,12.28231667,16655.0,14996.0,1659.0,25502.0,24469.0,1033.0,20030.0,18571.0,1459.0,333.0,343.0,-10.0,521.0,546.0,-25.0,1,0
467,1.0,0.0,0.0,1.0,8.570716667000001,-9999.0,-9999.0,0.0,14.81853333,1.0,12.28231667,14996.0,16655.0,-1659.0,24469.0,25502.0,-1033.0,18571.0,20030.0,-1459.0,343.0,333.0,10.0,546.0,521.0,25.0,0,1
478,0.0,1.0,1.0,0.0,7.4158,1.0,10.87626667,1.0,14.29856667,-9999.0,-9999.0,15938.0,15503.0,435.0,25306.0,23929.0,1377.0,18824.0,18915.0,-91.0,349.0,361.0,-12.0,586.0,590.0,-4.0,1,0
479,1.0,0.0,0.0,1.0,7.4158,0.0,10.87626667,0.0,14.29856667,-9999.0,-9999.0,15503.0,15938.0,-435.0,23929.0,25306.0,-1377.0,18915.0,18824.0,91.0,361.0,349.0,12.0,590.0,586.0,4.0,0,1
490,0.0,0.0,0.0,1.0,3.136633333,1.0,11.66388333,-9999.0,-9999.0,0.0,10.53065,14938.0,16236.0,-1298.0,23494.0,26751.0,-3257.0,18441.0,18938.0,-497.0,330.0,347.0,-17.0,551.0,557.0,-6.0,1,0
491,1.0,1.0,1.0,0.0,3.136633333,0.0,11.66388333,-9999.0,-9999.0,1.0,10.53065,16236.0,14938.0,1298.0,26751.0,23494.0,3257.0,18938.0,18441.0,497.0,347.0,330.0,17.0,557.0,551.0,6.0,0,1
502,1.0,1.0,1.0,0.0,7.117083332999999,1.0,9.340566667000001,-9999.0,-9999.0,-9999.0,-9999.0,15304.0,15250.0,54.0,24093.0,24267.0,-174.0,17538.0,18396.0,-858.0,330.0,313.0,17.0,565.0,524.0,41.0,1,0
503,0.0,0.0,0.0,1.0,7.117083332999999,0.0,9.340566667000001,-9999.0,-9999.0,-9999.0,-9999.0,15250.0,15304.0,-54.0,24267.0,24093.0,174.0,18396.0,17538.0,858.0,313.0,330.0,-17.0,524.0,565.0,-41.0,0,1
514,1.0,1.0,1.0,0.0,9.0213,0.0,4.467833333,-9999.0,-9999.0,1.0,13.5754,15970.0,15755.0,215.0,26505.0,24118.0,2387.0,18541.0,18703.0,-162.0,341.0,374.0,-33.0,551.0,599.0,-48.0,1,0
515,0.0,0.0,0.0,1.0,9.0213,1.0,4.467833333,-9999.0,-9999.0,0.0,13.5754,15755.0,15970.0,-215.0,24118.0,26505.0,-2387.0,18703.0,18541.0,162.0,374.0,341.0,33.0,599.0,551.0,48.0,0,1
526,1.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,14.67893333,-9999.0,-9999.0,-9999.0,-9999.0,15137.0,16248.0,-1111.0,23061.0,24670.0,-1609.0,19223.0,19671.0,-448.0,344.0,351.0,-7.0,560.0,564.0,-4.0,1,0
527,0.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,14.67893333,-9999.0,-9999.0,-9999.0,-9999.0,16248.0,15137.0,1111.0,24670.0,23061.0,1609.0,19671.0,19223.0,448.0,351.0,344.0,7.0,564.0,560.0,4.0,0,1
538,1.0,1.0,1.0,0.0,8.453266667000001,0.0,13.10648333,1.0,14.70998333,-9999.0,-9999.0,16360.0,15512.0,848.0,24652.0,23816.0,836.0,19785.0,18502.0,1283.0,352.0,354.0,-2.0,557.0,569.0,-12.0,1,0
539,0.0,0.0,0.0,1.0,8.453266667000001,1.0,13.10648333,0.0,14.70998333,-9999.0,-9999.0,15512.0,16360.0,-848.0,23816.0,24652.0,-836.0,18502.0,19785.0,-1283.0,354.0,352.0,2.0,569.0,557.0,12.0,0,1
550,1.0,1.0,1.0,0.0,12.97728333,0.0,10.59886667,1.0,11.34638333,1.0,9.481916667,16631.0,15067.0,1564.0,28142.0,22768.0,5374.0,19405.0,18419.0,986.0,361.0,331.0,30.0,580.0,522.0,58.0,1,0
551,0.0,0.0,0.0,1.0,12.97728333,1.0,10.59886667,0.0,11.34638333,0.0,9.481916667,15067.0,16631.0,-1564.0,22768.0,28142.0,-5374.0,18419.0,19405.0,-986.0,331.0,361.0,-30.0,522.0,580.0,-58.0,0,1
562,0.0,1.0,1.0,0.0,8.022316667,0.0,10.70905,-9999.0,-9999.0,1.0,11.42763333,15890.0,15005.0,885.0,25433.0,22965.0,2468.0,18227.0,17855.0,372.0,326.0,305.0,21.0,538.0,508.0,30.0,1,0
563,1.0,0.0,0.0,1.0,8.022316667,1.0,10.70905,-9999.0,-9999.0,0.0,11.42763333,15005.0,15890.0,-885.0,22965.0,25433.0,-2468.0,17855.0,18227.0,-372.0,305.0,326.0,-21.0,508.0,538.0,-30.0,0,1
574,0.0,1.0,1.0,0.0,8.29765,0.0,8.18465,-9999.0,-9999.0,0.0,13.53046667,15766.0,15411.0,355.0,24178.0,24793.0,-615.0,18112.0,18919.0,-807.0,346.0,355.0,-9.0,531.0,570.0,-39.0,1,0
575,1.0,0.0,0.0,1.0,8.29765,1.0,8.18465,-9999.0,-9999.0,1.0,13.53046667,15411.0,15766.0,-355.0,24793.0,24178.0,615.0,18919.0,18112.0,807.0,355.0,346.0,9.0,570.0,531.0,39.0,0,1
586,1.0,0.0,0.0,1.0,14.9649,-9999.0,-9999.0,1.0,11.99953333,0.0,13.91175,15990.0,15920.0,70.0,24763.0,26468.0,-1705.0,19376.0,19645.0,-269.0,381.0,371.0,10.0,612.0,609.0,3.0,1,0
587,0.0,1.0,1.0,0.0,14.9649,-9999.0,-9999.0,0.0,11.99953333,1.0,13.91175,15920.0,15990.0,-70.0,26468.0,24763.0,1705.0,19645.0,19376.0,269.0,371.0,381.0,-10.0,609.0,612.0,-3.0,0,1
598,1.0,1.0,1.0,0.0,4.326216667,1.0,8.09925,-9999.0,-9999.0,-9999.0,-9999.0,16401.0,15646.0,755.0,24727.0,23527.0,1200.0,19283.0,18584.0,699.0,354.0,322.0,32.0,587.0,526.0,61.0,1,0
599,0.0,0.0,0.0,1.0,4.326216667,0.0,8.09925,-9999.0,-9999.0,-9999.0,-9999.0,15646.0,16401.0,-755.0,23527.0,24727.0,-1200.0,18584.0,19283.0,-699.0,322.0,354.0,-32.0,526.0,587.0,-61.0,0,1
610,0.0,1.0,1.0,0.0,11.69998333,-9999.0,-9999.0,-9999.0,-9999.0,0.0,13.63025,15543.0,15580.0,-37.0,23846.0,26460.0,-2614.0,18827.0,19284.0,-457.0,346.0,361.0,-15.0,517.0,544.0,-27.0,1,0
611,1.0,0.0,0.0,1.0,11.69998333,-9999.0,-9999.0,-9999.0,-9999.0,1.0,13.63025,15580.0,15543.0,37.0,26460.0,23846.0,2614.0,19284.0,18827.0,457.0,361.0,346.0,15.0,544.0,517.0,27.0,0,1
622,1.0,1.0,1.0,0.0,6.3369,0.0,7.452183333,-9999.0,-9999.0,1.0,9.293916667000001,17908.0,14512.0,3396.0,27220.0,24128.0,3092.0,19561.0,17671.0,1890.0,359.0,319.0,40.0,594.0,544.0,50.0,1,0
