,side,gamelength,result,k,d,a,teamkills,teamdeaths,fb,fbassist,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15,csdat15
6994,Blue,32.15,1.0,17.0,9.0,37.0,17.0,9.0,1.0,1.0,0.0,1.8980833330000002,0.528771384,0.279937792,0.8087091759999999,1.0,11.30083333,3.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,15.58738333,1.0,11.0376,1.0,1.0,10.0,2.0,1.0,25.60695,1.0,0.0,69604.0,2164.976672,124.0,3.856920684,1.0,44.0,1.368584759,25.0,31.0,0.65625,0.13636363599999998,64862.0,1362.618974,58241.0,0.17268522,952.0,229.0,122.0,40.0,36.7340591,16247.0,15021.0,1226.0,25903.0,23294.0,2609.0,18314.0,17707.0,607.0,329.0,283.0,46.0,555.0,495.0,60.0
6995,Red,32.15,0.0,9.0,17.0,27.0,9.0,17.0,0.0,0.0,1.0,1.8980833330000002,0.279937792,0.528771384,0.8087091759999999,0.0,11.30083333,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.58738333,0.0,11.0376,0.0,0.0,2.0,10.0,0.0,25.60695,0.0,1.0,68817.0,2140.497667,150.0,4.66562986,1.0,38.0,1.181959565,30.0,36.0,0.36666666700000006,0.246376812,50104.0,903.5832037,48983.0,-0.17268522,825.0,130.0,115.0,0.0,29.70451011,15021.0,16247.0,-1226.0,23294.0,25903.0,-2609.0,17707.0,18314.0,-607.0,283.0,329.0,-46.0,495.0,555.0,-60.0
7006,Blue,24.41666667,1.0,12.0,1.0,27.0,12.0,1.0,0.0,0.0,1.0,4.281233333,0.49146757700000004,0.040955631,0.532423208,1.0,10.88741667,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-9999.0,-9999.0,1.0,17.96833333,1.0,1.0,9.0,1.0,1.0,21.08296667,1.0,0.0,47028.0,1926.0614329999999,111.0,4.546075085,1.0,30.0,1.228668942,22.0,22.0,0.7,0.290909091,49001.0,1338.430034,39215.0,-0.0067348619999999994,719.0,128.0,74.0,13.0,34.689419799999996,15656.0,15601.0,55.0,23069.0,23265.0,-196.0,19251.0,18770.0,481.0,327.0,313.0,14.0,511.0,503.0,8.0
7007,Red,24.41666667,0.0,1.0,12.0,2.0,1.0,12.0,1.0,1.0,0.0,4.281233333,0.040955631,0.49146757700000004,0.532423208,0.0,10.88741667,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0,0.0,17.96833333,0.0,0.0,1.0,9.0,0.0,21.08296667,0.0,1.0,20474.0,838.5255973,74.0,3.030716724,1.0,34.0,1.392491468,17.0,20.0,0.608695652,0.175438596,36574.0,829.4744027,39480.0,0.0067348619999999994,660.0,120.0,90.0,6.0,31.94539249,15601.0,15656.0,-55.0,23265.0,23069.0,196.0,18770.0,19251.0,-481.0,313.0,327.0,-14.0,503.0,511.0,-8.0
7018,Blue,27.55,0.0,6.0,21.0,18.0,6.0,21.0,0.0,0.0,1.0,2.453066667,0.21778584399999998,0.762250454,0.9800362979999999,0.0,10.1266,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.00641667,0.0,9.44775,0.0,0.0,0.0,11.0,0.0,21.27158333,0.0,1.0,46806.0,1698.9473679999999,100.0,3.629764065,1.0,38.0,1.379310345,26.0,28.0,0.5625,0.157142857,42221.0,870.5045372000002,39583.0,-0.27587033,786.0,123.0,92.0,1.0,32.99455535,14740.0,17505.0,-2765.0,22630.0,27641.0,-5011.0,18307.0,19974.0,-1667.0,329.0,364.0,-35.0,508.0,576.0,-68.0
7019,Red,27.55,1.0,21.0,6.0,44.0,21.0,6.0,1.0,0.0,0.0,2.453066667,0.762250454,0.21778584399999998,0.9800362979999999,1.0,10.1266,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,18.00641667,1.0,9.44775,1.0,1.0,11.0,0.0,1.0,21.27158333,1.0,0.0,71001.0,2577.168784,139.0,5.045372051,1.0,37.0,1.3430127040000002,30.0,32.0,0.5555555560000001,0.301369863,58412.0,1458.199637,52250.0,0.27587033,749.0,174.0,80.0,47.0,33.50272232,17505.0,14740.0,2765.0,27641.0,22630.0,5011.0,19974.0,18307.0,1667.0,364.0,329.0,35.0,576.0,508.0,68.0
7030,Blue,24.58333333,1.0,32.0,15.0,67.0,32.0,15.0,0.0,0.0,1.0,0.690566667,1.301694915,0.610169492,1.911864407,0.0,9.094533333,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.23678333,1.0,12.54693333,1.0,1.0,10.0,1.0,1.0,21.49321667,1.0,0.0,69224.0,2815.891525,107.0,4.352542373,1.0,30.0,1.220338983,30.0,33.0,0.666666667,0.11475409800000001,57183.0,1658.0338980000001,47475.0,0.240443605,620.0,126.0,66.0,18.0,30.34576271,16465.0,17136.0,-671.0,29844.0,24657.0,5187.0,16898.0,18442.0,-1544.0,266.0,289.0,-23.0,428.0,424.0,4.0
7031,Red,24.58333333,0.0,15.0,32.0,24.0,15.0,32.0,1.0,1.0,0.0,0.690566667,0.610169492,1.301694915,1.911864407,1.0,9.094533333,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18.23678333,0.0,12.54693333,0.0,0.0,1.0,10.0,0.0,21.49321667,0.0,1.0,51580.0,2098.169492,111.0,4.515254237,1.0,34.0,1.3830508469999998,11.0,13.0,0.516129032,0.14754098400000001,40920.0,996.4881356000001,37285.0,-0.240443605,589.0,116.0,96.0,3.0,28.677966100000003,17136.0,16465.0,671.0,24657.0,29844.0,-5187.0,18442.0,16898.0,1544.0,289.0,266.0,23.0,424.0,428.0,-4.0
7042,Blue,31.73333333,1.0,12.0,4.0,35.0,12.0,4.0,0.0,0.0,1.0,11.85171667,0.378151261,0.12605042,0.5042016810000001,1.0,8.93495,3.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,19.79111667,1.0,14.27538333,1.0,1.0,7.0,1.0,0.0,22.99715,1.0,1.0,63090.0,1988.130252,138.0,4.348739496,1.0,60.0,1.890756303,31.0,32.0,0.658536585,0.24719101100000002,60067.0,1237.4432769999999,52283.0,0.093245786,975.0,224.0,130.0,30.0,37.78361345,15131.0,14666.0,465.0,23652.0,22351.0,1301.0,18670.0,18162.0,508.0,348.0,333.0,15.0,545.0,517.0,28.0
7043,Red,31.73333333,0.0,4.0,12.0,11.0,4.0,12.0,1.0,1.0,0.0,11.85171667,0.12605042,0.378151261,0.5042016810000001,0.0,8.93495,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.79111667,0.0,14.27538333,0.0,0.0,1.0,7.0,1.0,22.99715,1.0,1.0,66969.0,2110.367647,161.0,5.073529412,1.0,48.0,1.512605042,37.0,41.0,0.41176470600000004,0.278481013,49150.0,893.4201681,47625.0,-0.093245786,915.0,135.0,119.0,0.0,33.08823529,14666.0,15131.0,-465.0,22351.0,23652.0,-1301.0,18162.0,18670.0,-508.0,333.0,348.0,-15.0,517.0,545.0,-28.0
7054,Blue,29.41666667,1.0,11.0,2.0,20.0,11.0,2.0,1.0,1.0,0.0,9.501266667000001,0.373937677,0.067988669,0.441926346,0.0,17.66698333,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,17.69026667,1.0,17.6233,1.0,1.0,9.0,1.0,1.0,23.64076667,1.0,0.0,45145.0,1534.674221,141.0,4.793201133,1.0,52.0,1.767705382,39.0,42.0,0.515151515,0.291666667,58832.0,1341.110482,51108.0,0.18917790199999998,966.0,196.0,116.0,26.0,39.50141643,15834.0,14510.0,1324.0,23866.0,21944.0,1922.0,19764.0,18326.0,1438.0,357.0,305.0,52.0,557.0,498.0,59.0
